"Pool","Freezer_RT","Specimen","amount_DNA","Total_mg_in_pool","Experiment","number_Reads","total_Reads"
"RT6","R","Salticidae_Leg",1.191,14.653,"HRT6",44,16786
"RT8","R","Salticidae_Leg",1.618,16.23,"HRT8",17,19174
"RT9","R","Salticidae_Leg",1.421,9.801,"HRT9",16,14845
"RT10","R","Salticidae_Leg",0.956,13.587,"HRT10",0,14762
"RT11","R","Salticidae_Leg",0.292,13.343,"HRT11",0,15301
"RT12","R","Salticidae_Leg",2.642,13.78,"HRT12",66,15301
"RT13","R","Salticidae_Leg",0.365,13.7,"HRT13",19,15921
"RT14","R","Salticidae_Leg",0.59,11.191,"HRT14",92,19388
"FT2","F","Salticidae_Pros",1.199,15.625,"HFT2",65,11178
"FT3","F","Salticidae_Pros",2.761,17.986,"HFT3",465,13396
"FT8","F","Salticidae_Pros",3.252,13.781,"HFT8",465,12144
"FT12","F","Salticidae_Pros",2.546,14.99,"HFT12",1276,8536
"FT14","F","Salticidae_Pros",1.554,12.723,"HFT14",164,7833
"FT15","F","Salticidae_Pros",1.276,5.247,"HFT15",2572,8153
"RT1","R","Salticidae_Pros",2.075,13.364,"HRT1",73,15769
"RT2","R","Salticidae_Pros",1.674,18.39,"HRT2",356,15630
"RT3","R","Salticidae_Pros",3.078,17.242,"HRT3",97,14301
"RT5","R","Salticidae_Pros",0.354,17.5,"HRT5",12,13931
"RT7","R","Salticidae_Pros",0.87,18.503,"HRT7",82,14534
"RT15","R","Salticidae_Pros",1.161,11.521,"HRT15",111,14482
